after_stage,rank,rider,cumulative_s,gap_s,stages_completed,status
2,26,S. HIGUITA,14689,181,2,DERIVED_REPRODUCIBLE
2,27,A. BALDERSTONE,14698,190,2,DERIVED_REPRODUCIBLE
2,28,T. TRÆEN,14712,204,2,DERIVED_REPRODUCIBLE
2,29,H. TEJADA,14725,217,2,DERIVED_REPRODUCIBLE
2,30,S. QUINN,14735,227,2,DERIVED_REPRODUCIBLE
2,31,E. BERNAL,14741,233,2,DERIVED_REPRODUCIBLE
2,32,J. ROMO,14752,244,2,DERIVED_REPRODUCIBLE
2,33,J. HINDLEY,14767,259,2,DERIVED_REPRODUCIBLE
2,34,A. ARANBURU,14791,283,2,DERIVED_REPRODUCIBLE
2,35,A. YATES,14814,306,2,DERIVED_REPRODUCIBLE
2,36,T. BENOOT,14822,314,2,DERIVED_REPRODUCIBLE
2,37,J. DELBOVE,14878,370,2,DERIVED_REPRODUCIBLE
2,38,M. VACEK,14882,374,2,DERIVED_REPRODUCIBLE
2,39,M. RICCITELLO,14889,381,2,DERIVED_REPRODUCIBLE
2,40,A. TIBERI,14899,391,2,DERIVED_REPRODUCIBLE
2,41,G. BENNETT,14915,407,2,DERIVED_REPRODUCIBLE
2,42,B. MCNULTY,14956,448,2,DERIVED_REPRODUCIBLE
2,43,L. PLAPP,14956,448,2,DERIVED_REPRODUCIBLE
2,44,D. GEE,14962,454,2,DERIVED_REPRODUCIBLE
2,45,K. VAUQUELIN,14994,486,2,DERIVED_REPRODUCIBLE
2,46,M. JORGENSON,15021,513,2,DERIVED_REPRODUCIBLE
2,47,Q. HERMANS,15028,520,2,DERIVED_REPRODUCIBLE
2,48,S. KUSS,15038,530,2,DERIVED_REPRODUCIBLE
2,49,G. MARTIN GUYONNET,15053,545,2,DERIVED_REPRODUCIBLE
2,50,C. BRAZ AFONSO,15093,585,2,DERIVED_REPRODUCIBLE
2,51,B. O'CONNOR,15112,604,2,DERIVED_REPRODUCIBLE
2,52,B. ARMIRAIL,15128,620,2,DERIVED_REPRODUCIBLE
2,53,A. JOHANNESSEN,15150,642,2,DERIVED_REPRODUCIBLE
2,54,M. SCHMID,15164,656,2,DERIVED_REPRODUCIBLE
2,55,G. STEINHAUSER,15166,658,2,DERIVED_REPRODUCIBLE
2,56,R. DHONDT,15191,683,2,DERIVED_REPRODUCIBLE
2,57,E. VERSTRYNGE,15207,699,2,DERIVED_REPRODUCIBLE
2,58,M. HIRSCHI,15221,713,2,DERIVED_REPRODUCIBLE
2,59,R. DEBRUYNE,15248,740,2,DERIVED_REPRODUCIBLE
2,60,R. GARCIA,15252,744,2,DERIVED_REPRODUCIBLE
2,61,J. ALAPHILIPPE,15259,751,2,DERIVED_REPRODUCIBLE
