stage_number,rank,rider,bib,team,finish_time_s,gap_s,bonus_s,penalty_s,status
2,19,S. HIGUITA,61,XDS ASTANA TEAM,13244,43,0,0,OBSERVED_FACT
2,20,T. FOSS,83,NETCOMPANY INEOS CYCLING TEAM,13244,43,0,0,OBSERVED_FACT
2,21,T. ARENSMAN,82,NETCOMPANY INEOS CYCLING TEAM,13248,47,0,0,OBSERVED_FACT
2,22,M. VAN DER POEL,101,ALPECIN-PREMIER TECH,13248,47,0,0,OBSERVED_FACT
2,23,E. BERNAL,81,NETCOMPANY INEOS CYCLING TEAM,13248,47,0,0,OBSERVED_FACT
2,24,A. ARANBURU,163,COFIDIS,13250,49,0,0,OBSERVED_FACT
2,25,H. TEJADA,65,XDS ASTANA TEAM,13252,51,0,0,OBSERVED_FACT
2,26,J. PARRA,228,CAJA RURAL-SEGUROS RGA,13255,54,0,0,OBSERVED_FACT
2,27,Y. VOISARD,198,TUDOR PRO CYCLING TEAM,13271,70,0,0,OBSERVED_FACT
2,28,D. PIGANZOLI,18,TEAM VISMA | LEASE A BIKE,13271,70,0,0,OBSERVED_FACT
2,29,J. JEGAT,201,TOTALENERGIES,13271,70,0,0,OBSERVED_FACT
2,30,I. IZAGIRRE,161,COFIDIS,13272,71,0,0,OBSERVED_FACT
2,31,J. ROMO,147,MOVISTAR TEAM,13279,78,0,0,OBSERVED_FACT
2,32,A. BALDERSTONE,222,CAJA RURAL-SEGUROS RGA,13279,78,0,0,OBSERVED_FACT
2,33,J. DELBOVE,203,TOTALENERGIES,13297,96,0,0,OBSERVED_FACT
2,34,S. QUINN,45,EF EDUCATION - EASYPOST,13300,99,0,0,OBSERVED_FACT
2,35,T. TRÆEN,127,UNO-X MOBILITY,13316,115,0,0,OBSERVED_FACT
2,36,J. HINDLEY,24,RED BULL - BORA - HANSGROHE,13316,115,0,0,OBSERVED_FACT
2,37,T. BENOOT,52,DECATHLON CMA CGM TEAM,13316,115,0,0,OBSERVED_FACT
2,38,M. VACEK,37,LIDL-TREK,13503,302,0,0,OBSERVED_FACT
2,39,B. MCNULTY,4,UAE TEAM EMIRATES XRG,13503,302,0,0,OBSERVED_FACT
2,40,B. O'CONNOR,111,TEAM JAYCO ALULA,13532,331,0,0,OBSERVED_FACT
2,41,M. RICCITELLO,58,DECATHLON CMA CGM TEAM,13532,331,0,0,OBSERVED_FACT
2,42,G. MARTIN GUYONNET,186,GROUPAMA-FDJ UNITED,13532,331,0,0,OBSERVED_FACT
2,43,G. BENNETT,133,NSN CYCLING TEAM,13532,331,0,0,OBSERVED_FACT
2,44,L. PLAPP,117,TEAM JAYCO ALULA,13532,331,0,0,OBSERVED_FACT
2,45,D. GEE,32,LIDL-TREK,13532,331,0,0,OBSERVED_FACT
2,46,A. TIBERI,77,BAHRAIN VICTORIOUS,13545,344,0,0,OBSERVED_FACT
2,47,Q. HERMANS,174,PINARELLO-Q36.5 PRO CYCLING TEAM,13558,357,0,0,OBSERVED_FACT
2,48,M. JORGENSON,16,TEAM VISMA | LEASE A BIKE,13564,363,0,0,OBSERVED_FACT
2,49,M. SCHMID,118,TEAM JAYCO ALULA,13582,381,0,0,OBSERVED_FACT
2,50,B. ARMIRAIL,13,TEAM VISMA | LEASE A BIKE,13613,412,0,0,OBSERVED_FACT
2,51,K. VAUQUELIN,88,NETCOMPANY INEOS CYCLING TEAM,13613,412,0,0,OBSERVED_FACT
2,52,S. KUSS,17,TEAM VISMA | LEASE A BIKE,13613,412,0,0,OBSERVED_FACT
2,53,A. JOHANNESSEN,125,UNO-X MOBILITY,13613,412,0,0,OBSERVED_FACT
2,54,C. BRAZ AFONSO,183,GROUPAMA-FDJ UNITED,13636,435,0,0,OBSERVED_FACT
2,55,A. SKAARSETH,126,UNO-X MOBILITY,13721,520,0,0,OBSERVED_FACT
2,56,P. EENKHOORN,92,SOUDAL QUICK-STEP,13769,568,0,0,OBSERVED_FACT
2,57,G. STEINHAUSER,46,EF EDUCATION - EASYPOST,13769,568,0,0,OBSERVED_FACT
2,58,G. ZIMMERMANN,158,LOTTO INTERMARCHE,13769,568,0,0,OBSERVED_FACT
2,59,R. PLUIMERS,195,TUDOR PRO CYCLING TEAM,13769,568,0,0,OBSERVED_FACT
2,60,R. DHONDT,215,TEAM PICNIC POSTNL,13769,568,0,0,OBSERVED_FACT
2,61,S. BERWICK,223,CAJA RURAL-SEGUROS RGA,13769,568,0,0,OBSERVED_FACT
2,62,N. PRODHOMME,57,DECATHLON CMA CGM TEAM,13769,568,0,0,OBSERVED_FACT
2,63,L. VERVAEKE,98,SOUDAL QUICK-STEP,13769,568,0,0,OBSERVED_FACT
2,64,M. HIRSCHI,194,TUDOR PRO CYCLING TEAM,13769,568,0,0,OBSERVED_FACT
2,65,L. CRAPS,154,LOTTO INTERMARCHE,13769,568,0,0,OBSERVED_FACT
2,66,E. VERSTRYNGE,108,ALPECIN-PREMIER TECH,13769,568,0,0,OBSERVED_FACT
2,67,C. HARPER,173,PINARELLO-Q36.5 PRO CYCLING TEAM,13769,568,0,0,OBSERVED_FACT
2,68,R. DEBRUYNE,102,ALPECIN-PREMIER TECH,13781,580,0,0,OBSERVED_FACT
2,69,Q. PACHER,187,GROUPAMA-FDJ UNITED,13825,624,0,0,OBSERVED_FACT
2,70,J. NICOLAU,225,CAJA RURAL-SEGUROS RGA,13862,661,0,0,OBSERVED_FACT
2,71,M. VAN GILS,28,RED BULL - BORA - HANSGROHE,13867,666,0,0,OBSERVED_FACT
2,72,X. MEURISSE,176,PINARELLO-Q36.5 PRO CYCLING TEAM,13867,666,0,0,OBSERVED_FACT
2,73,D. CARUSO,73,BAHRAIN VICTORIOUS,13867,666,0,0,OBSERVED_FACT
2,74,T. GUERNALEC,205,TOTALENERGIES,13867,666,0,0,OBSERVED_FACT
2,75,M. FRIGO,134,NSN CYCLING TEAM,13867,666,0,0,OBSERVED_FACT
2,76,R. STANNARD,76,BAHRAIN VICTORIOUS,13867,666,0,0,OBSERVED_FACT
2,77,N. OLIVEIRA,146,MOVISTAR TEAM,13867,666,0,0,OBSERVED_FACT
2,78,L. GERMANI,185,GROUPAMA-FDJ UNITED,13867,666,0,0,OBSERVED_FACT
2,79,E. COSTIOU,184,GROUPAMA-FDJ UNITED,13867,666,0,0,OBSERVED_FACT
2,80,A. DELETTRE,204,TOTALENERGIES,13867,666,0,0,OBSERVED_FACT
2,81,M. VERCHER,208,TOTALENERGIES,13867,666,0,0,OBSERVED_FACT
2,82,N. BREUILLARD,202,TOTALENERGIES,13867,666,0,0,OBSERVED_FACT
2,83,M. CATTANEO,22,RED BULL - BORA - HANSGROHE,13867,666,0,0,OBSERVED_FACT
