stage_number,kind,category,label,km_from_start,lon,lat,altitude_m,climb_length_km,avg_gradient_pct,final_straight_m,road_width_m,offset_source,status,description
10,SUMMIT,2,Catégorie 2,97.370,2.818082312000058,45.018596167000055,1336,5.90,6.70,,,aso-arcgis,NORMALIZED_FACT,"Sommet de col : sur la D39, à hauteur du panneau de sommet de col sur la droite de la chaussée. Col de 2ème catégorie. Altitude : 1336 m. Distance : 5,9 km. Pente : 6,7 %."
10,SUMMIT,3,Catégorie 3,103.790,2.794160358000056,45.05229856900007,1392,3.10,6.50,,,aso-arcgis,NORMALIZED_FACT,"Sommet de col : sur la D39, à hauteur du panneau de sommet de col sur la droite de la chaussée. Côte de 3ème catégorie. Altitude : 1392 m. Distance : 3,1 km. Pente : 6,5 %."
10,SUMMIT,3,Catégorie 3,118.827,2.8284814960000517,45.137276238000084,1193,5.20,5.30,,,aso-arcgis,NORMALIZED_FACT,"Sommet de col : sur la D3, à hauteur de l'intersection avec la route qui mène au lieu-dit Entremont. Côte de 3ème catégorie. Altitude : 1193 m. Distance : 5,2 km. Pente : 5,3 %."
10,SUMMIT,1,Catégorie 1,135.700,2.6723309350000477,45.11371418200008,1589,7.80,6.00,,,aso-arcgis,NORMALIZED_FACT,"Sommet de col : sur la D680, à hauteur du panneau zone 30 km/h sur la droite de la chaussée. Col de 1ère catégorie. Altitude : 1589 m. Distance : 7,8 km. Pente : 6 %."
10,SUMMIT,1,Catégorie 1,152.075,2.6736900000000787,45.058117167000034,1309,4.40,8.50,,,aso-arcgis,NORMALIZED_FACT,"Sommet de col : sur la D317, à hauteur du panneau de sommet de col sur la droite de la chaussée. Col de 1ère catégorie. Altitude : 1309 m. Distance : 4,4 km. Pente : 8,5 %."
10,SUMMIT,3,Catégorie 3,163.840,2.7320000000000846,45.083920000000035,1294,3.10,5.80,,,aso-arcgis,NORMALIZED_FACT,"Sommet de col. Côte de 3ème catégorie. Altitude : 1294 m. Distance : 3,1 km. Pente : 5,8 %."
10,FINISH,,Arrivée,166.600,2.7480300000000852,45.08432000000005,,,,160,5.50,aso-arcgis,NORMALIZED_FACT,"Arrivée : D67, à l'extrémité d'une ligne droite finale de 160 m à vue. Largeur chaussée : 5,50 m,"
11,START_CEREMONIAL,,Départ fictif,,3.4072984050000628,46.14092996200009,,,,,,,NORMALIZED_FACT,Départ fictif : parc Omnisports Auvergne Rhône-Alpes - Vichy.
11,START_REAL,,Départ réel,0.000,3.4135400000000686,46.15902999900004,,,,,,aso-arcgis,NORMALIZED_FACT,"Départ réel : sur la D174, rue de l'Industrie à Creuzier-le-Vieux, à hauteur du panneau de limitation à 50 km/h et de la fichier de la glissière en bois à droite."
11,SPRINT,,Sprint,27.829,3.2906600000000594,46.30875000000009,,,,,,aso-arcgis,NORMALIZED_FACT,"Sprint : sur le boulevard Ledru-Rollin (D2009), à hauteur du carrefour avec la place Georges Clemenceau à gauche et la voie en sens interdit à droite (juste avant le kiosque à droite), entre le marquage au sol et le passage piétons (moyens techniques du côté droit dans le carrefour et à l'arrière des massifs sur le cours du 8 Mai 1945)."
