stage_number,km_from_start,lon,lat,dem_count,elevation_min_m,elevation_max_m,elevation_mean_m,spread_m,sources
3,17.8000,2.1613102880745374,41.70499493629162,1,631.00,631.00,631.00,0.00,COPERNICUS_GLO90
3,18.0000,2.159060691653712,41.70563762150462,1,628.00,628.00,628.00,0.00,COPERNICUS_GLO90
3,18.2000,2.156852876806029,41.70634837821663,1,625.00,625.00,625.00,0.00,COPERNICUS_GLO90
3,18.4000,2.1561426563839565,41.707522235809684,1,633.00,633.00,633.00,0.00,COPERNICUS_GLO90
3,18.6000,2.158080177648896,41.70717,1,627.00,627.00,627.00,0.00,COPERNICUS_GLO90
3,18.8000,2.1604550231668607,41.70746125579171,1,635.00,635.00,635.00,0.00,COPERNICUS_GLO90
3,19.0000,2.1609100526039424,41.70912015781183,1,638.00,638.00,638.00,0.00,COPERNICUS_GLO90
3,19.2000,2.1625361800420633,41.70952769898083,1,650.00,650.00,650.00,0.00,COPERNICUS_GLO90
3,19.4000,2.1646551464418105,41.70875118322209,1,648.00,648.00,648.00,0.00,COPERNICUS_GLO90
3,19.6000,2.166994056578939,41.70831961378799,1,650.00,650.00,650.00,0.00,COPERNICUS_GLO90
3,19.8000,2.1692802775782782,41.708254940829434,1,658.00,658.00,658.00,0.00,COPERNICUS_GLO90
3,20.0000,2.170727083014031,41.709583876379405,1,663.00,663.00,663.00,0.00,COPERNICUS_GLO90
3,20.2000,2.1703373785864417,41.71133653728324,1,648.00,648.00,648.00,0.00,COPERNICUS_GLO90
3,20.4000,2.170246797321943,41.71266720602563,1,641.00,641.00,641.00,0.00,COPERNICUS_GLO90
3,20.6000,2.170178265906636,41.71436719657986,1,631.00,631.00,631.00,0.00,COPERNICUS_GLO90
3,20.8000,2.17002600604804,41.71588801814412,1,622.00,622.00,622.00,0.00,COPERNICUS_GLO90
3,21.0000,2.170049463403558,41.71764234957319,1,637.00,637.00,637.00,0.00,COPERNICUS_GLO90
3,21.2000,2.1717509051562556,41.718846589433596,1,626.00,626.00,626.00,0.00,COPERNICUS_GLO90
3,21.4000,2.170984820995763,41.72042061058792,1,609.00,609.00,609.00,0.00,COPERNICUS_GLO90
3,21.6000,2.1697047023085685,41.72189509923048,1,577.00,577.00,577.00,0.00,COPERNICUS_GLO90
3,21.8000,2.167795417027569,41.721802916594484,1,578.00,578.00,578.00,0.00,COPERNICUS_GLO90
3,22.0000,2.16629708389976,41.72258924098243,1,579.00,579.00,579.00,0.00,COPERNICUS_GLO90
3,22.2000,2.167507427312417,41.723721745960674,1,594.00,594.00,594.00,0.00,COPERNICUS_GLO90
3,22.4000,2.168741921396053,41.725221280930704,1,600.00,600.00,600.00,0.00,COPERNICUS_GLO90
3,22.6000,2.1692033790659666,41.72408827616754,1,598.00,598.00,598.00,0.00,COPERNICUS_GLO90
3,22.8000,2.1713937353852013,41.72367580475487,1,612.00,612.00,612.00,0.00,COPERNICUS_GLO90
3,23.0000,2.1726934906601514,41.724448995510954,1,633.00,633.00,633.00,0.00,COPERNICUS_GLO90
3,23.2000,2.174213773060651,41.72546471771509,1,637.00,637.00,637.00,0.00,COPERNICUS_GLO90
3,23.4000,2.175571719121473,41.725117054739954,1,647.00,647.00,647.00,0.00,COPERNICUS_GLO90
3,23.6000,2.17643,41.72678041425987,1,660.00,660.00,660.00,0.00,COPERNICUS_GLO90
3,23.8000,2.177949304926977,41.72724,1,649.00,649.00,649.00,0.00,COPERNICUS_GLO90
